backbone,dataset,base_model_type,score_type,value
NUnet,CVC-ClinicDB,Original,dice,0.9407482758620689
NUnet,CVC-ClinicDB,Original,iou,0.8947746558705624
NUnet,CVC-ClinicDB,Tree_NET,dice,0.9258146551724139
NUnet,CVC-ClinicDB,Tree_NET,iou,0.8749449602504482
NUnet,ISAC_2018,Original,dice,0.8291028
NUnet,ISAC_2018,Original,iou,0.7353050415443088
NUnet,ISAC_2018,Tree_NET,dice,0.8625748
NUnet,ISAC_2018,Tree_NET,iou,0.786379123358137
PolypPVT,CVC-ClinicDB,Original,dice,0.9592974137931036
PolypPVT,CVC-ClinicDB,Original,iou,0.9245316838084822
PolypPVT,CVC-ClinicDB,Tree_NET,dice,0.9461362068965518
PolypPVT,CVC-ClinicDB,Tree_NET,iou,0.9010481306796393
PolypPVT,ISAC_2018,Original,dice,0.9027119
PolypPVT,ISAC_2018,Original,iou,0.8386885076228923
PolypPVT,ISAC_2018,Tree_NET,dice,0.8855692
PolypPVT,ISAC_2018,Tree_NET,iou,0.8109980103988257
Unet,CVC-ClinicDB,Original,dice,0.9450284482758621
Unet,CVC-ClinicDB,Original,iou,0.900940080165422
Unet,CVC-ClinicDB,BSU-NET,dice,0.9353810344827587
Unet,CVC-ClinicDB,BSU-NET,iou,0.8902874354917385
Unet,CVC-ClinicDB,Tree_NET,dice,0.9242086206896551
Unet,CVC-ClinicDB,Tree_NET,iou,0.8741289067848335
Unet,ISAC_2018,Original,dice,0.8059326
Unet,ISAC_2018,Original,iou,0.6970937541254103
Unet,ISAC_2018,BSU-NET,dice,0.8215355
Unet,ISAC_2018,BSU-NET,iou,0.7229626133751349
Unet,ISAC_2018,Tree_NET,dice,0.8672988
Unet,ISAC_2018,Tree_NET,iou,0.7897323602891476
