[2024-10-25 04:14:19 AM-train.py-INFO:epoch: 1, dataset: CVC-300, dice: 0.7952416666666665]
[2024-10-25 04:14:26 AM-train.py-INFO:epoch: 1, dataset: CVC-ClinicDB, dice: 0.8287580645161292]
[2024-10-25 04:14:32 AM-train.py-INFO:epoch: 1, dataset: Kvasir, dice: 0.8611190000000003]
[2024-10-25 04:14:54 AM-train.py-INFO:epoch: 1, dataset: CVC-ColonDB, dice: 0.6896886842105261]
[2024-10-25 04:15:12 AM-train.py-INFO:epoch: 1, dataset: ETIS-LaribPolypDB, dice: 0.576966836734694]
[2024-10-25 04:16:07 AM-train.py-INFO:##############################################################################best:0.7004211779448625]
[2024-10-25 04:42:24 AM-train.py-INFO:epoch: 2, dataset: CVC-300, dice: 0.8536933333333334]
[2024-10-25 04:42:30 AM-train.py-INFO:epoch: 2, dataset: CVC-ClinicDB, dice: 0.8649145161290321]
[2024-10-25 04:42:35 AM-train.py-INFO:epoch: 2, dataset: Kvasir, dice: 0.8853030000000004]
[2024-10-25 04:42:54 AM-train.py-INFO:epoch: 2, dataset: CVC-ColonDB, dice: 0.7494199999999998]
[2024-10-25 04:43:10 AM-train.py-INFO:epoch: 2, dataset: ETIS-LaribPolypDB, dice: 0.6870076530612244]
[2024-10-25 04:43:56 AM-train.py-INFO:##############################################################################best:0.7655360902255636]
[2024-10-25 05:10:03 AM-train.py-INFO:epoch: 3, dataset: CVC-300, dice: 0.8479850000000001]
[2024-10-25 05:10:09 AM-train.py-INFO:epoch: 3, dataset: CVC-ClinicDB, dice: 0.9040967741935483]
[2024-10-25 05:10:15 AM-train.py-INFO:epoch: 3, dataset: Kvasir, dice: 0.8867260000000001]
[2024-10-25 05:10:35 AM-train.py-INFO:epoch: 3, dataset: CVC-ColonDB, dice: 0.7900097368421051]
[2024-10-25 05:10:51 AM-train.py-INFO:epoch: 3, dataset: ETIS-LaribPolypDB, dice: 0.657472448979592]
[2024-10-25 05:11:39 AM-train.py-INFO:##############################################################################best:0.7806005012531334]
[2024-10-25 05:37:46 AM-train.py-INFO:epoch: 4, dataset: CVC-300, dice: 0.8674916666666669]
[2024-10-25 05:37:52 AM-train.py-INFO:epoch: 4, dataset: CVC-ClinicDB, dice: 0.9088161290322582]
[2024-10-25 05:37:57 AM-train.py-INFO:epoch: 4, dataset: Kvasir, dice: 0.9015050000000003]
[2024-10-25 05:38:16 AM-train.py-INFO:epoch: 4, dataset: CVC-ColonDB, dice: 0.7836857894736842]
[2024-10-25 05:38:32 AM-train.py-INFO:epoch: 4, dataset: ETIS-LaribPolypDB, dice: 0.7420357142857144]
[2024-10-25 05:39:18 AM-train.py-INFO:##############################################################################best:0.8019112781954886]
[2024-10-25 06:05:25 AM-train.py-INFO:epoch: 5, dataset: CVC-300, dice: 0.8518083333333334]
[2024-10-25 06:05:31 AM-train.py-INFO:epoch: 5, dataset: CVC-ClinicDB, dice: 0.9157040322580643]
[2024-10-25 06:05:36 AM-train.py-INFO:epoch: 5, dataset: Kvasir, dice: 0.8847740000000002]
[2024-10-25 06:05:56 AM-train.py-INFO:epoch: 5, dataset: CVC-ColonDB, dice: 0.7306950000000001]
[2024-10-25 06:06:13 AM-train.py-INFO:epoch: 5, dataset: ETIS-LaribPolypDB, dice: 0.7141591836734695]
[2024-10-25 06:33:00 AM-train.py-INFO:epoch: 6, dataset: CVC-300, dice: 0.8824999999999998]
[2024-10-25 06:33:06 AM-train.py-INFO:epoch: 6, dataset: CVC-ClinicDB, dice: 0.9125088709677421]
[2024-10-25 06:33:11 AM-train.py-INFO:epoch: 6, dataset: Kvasir, dice: 0.884354]
[2024-10-25 06:33:31 AM-train.py-INFO:epoch: 6, dataset: CVC-ColonDB, dice: 0.7495428947368412]
[2024-10-25 06:33:47 AM-train.py-INFO:epoch: 6, dataset: ETIS-LaribPolypDB, dice: 0.6808224489795914]
[2024-10-25 07:00:33 AM-train.py-INFO:epoch: 7, dataset: CVC-300, dice: 0.8810683333333335]
[2024-10-25 07:00:39 AM-train.py-INFO:epoch: 7, dataset: CVC-ClinicDB, dice: 0.9353282258064511]
[2024-10-25 07:00:44 AM-train.py-INFO:epoch: 7, dataset: Kvasir, dice: 0.916948]
[2024-10-25 07:01:04 AM-train.py-INFO:epoch: 7, dataset: CVC-ColonDB, dice: 0.798638684210526]
[2024-10-25 07:01:20 AM-train.py-INFO:epoch: 7, dataset: ETIS-LaribPolypDB, dice: 0.7689051020408164]
[2024-10-25 07:02:08 AM-train.py-INFO:##############################################################################best:0.8211387218045109]
[2024-10-25 09:41:49 AM-train.py-INFO:epoch: 8, dataset: CVC-300, dice: 0.8838700000000003]
[2024-10-25 09:41:56 AM-train.py-INFO:epoch: 8, dataset: CVC-ClinicDB, dice: 0.9265120967741934]
[2024-10-25 09:42:02 AM-train.py-INFO:epoch: 8, dataset: Kvasir, dice: 0.9108919999999998]
[2024-10-25 09:42:22 AM-train.py-INFO:epoch: 8, dataset: CVC-ColonDB, dice: 0.7800192105263157]
[2024-10-25 09:42:39 AM-train.py-INFO:epoch: 8, dataset: ETIS-LaribPolypDB, dice: 0.724126530612245]
[2024-10-25 11:21:27 AM-train.py-INFO:epoch: 1, dataset: CVC-300, dice: 0.597588333333333]
[2024-10-25 11:21:32 AM-train.py-INFO:epoch: 1, dataset: CVC-ClinicDB, dice: 0.637562903225806]
[2024-10-25 11:21:37 AM-train.py-INFO:epoch: 1, dataset: Kvasir, dice: 0.7157590000000001]
[2024-10-25 11:21:54 AM-train.py-INFO:epoch: 1, dataset: CVC-ColonDB, dice: 0.5499436842105259]
[2024-10-25 11:22:11 AM-train.py-INFO:epoch: 1, dataset: ETIS-LaribPolypDB, dice: 0.3499770408163269]
[2024-10-25 11:22:54 AM-train.py-INFO:##############################################################################best:0.5289606516290727]
[2024-10-25 11:24:00 AM-train.py-INFO:epoch: 2, dataset: CVC-300, dice: 0.7471499999999999]
[2024-10-25 11:24:04 AM-train.py-INFO:epoch: 2, dataset: CVC-ClinicDB, dice: 0.7833443548387093]
[2024-10-25 11:24:08 AM-train.py-INFO:epoch: 2, dataset: Kvasir, dice: 0.7883980000000002]
[2024-10-25 11:24:23 AM-train.py-INFO:epoch: 2, dataset: CVC-ColonDB, dice: 0.5880289473684217]
[2024-10-25 11:24:37 AM-train.py-INFO:epoch: 2, dataset: ETIS-LaribPolypDB, dice: 0.4919372448979595]
[2024-10-25 11:25:14 AM-train.py-INFO:##############################################################################best:0.6140916040100239]
[2024-10-25 11:26:19 AM-train.py-INFO:epoch: 3, dataset: CVC-300, dice: 0.7959650000000003]
[2024-10-25 11:26:23 AM-train.py-INFO:epoch: 3, dataset: CVC-ClinicDB, dice: 0.8196112903225806]
[2024-10-25 11:26:27 AM-train.py-INFO:epoch: 3, dataset: Kvasir, dice: 0.822413]
[2024-10-25 11:26:41 AM-train.py-INFO:epoch: 3, dataset: CVC-ColonDB, dice: 0.6701326315789473]
[2024-10-25 11:26:55 AM-train.py-INFO:epoch: 3, dataset: ETIS-LaribPolypDB, dice: 0.5271551020408165]
[2024-10-25 11:27:29 AM-train.py-INFO:##############################################################################best:0.6741016290726808]
[2024-10-25 11:28:36 AM-train.py-INFO:epoch: 4, dataset: CVC-300, dice: 0.7960499999999999]
[2024-10-25 11:28:40 AM-train.py-INFO:epoch: 4, dataset: CVC-ClinicDB, dice: 0.8061185483870968]
[2024-10-25 11:28:44 AM-train.py-INFO:epoch: 4, dataset: Kvasir, dice: 0.8262019999999999]
[2024-10-25 11:28:59 AM-train.py-INFO:epoch: 4, dataset: CVC-ColonDB, dice: 0.6591636842105261]
[2024-10-25 11:29:13 AM-train.py-INFO:epoch: 4, dataset: ETIS-LaribPolypDB, dice: 0.48970255102040794]
[2024-10-25 11:30:53 AM-train.py-INFO:epoch: 5, dataset: CVC-300, dice: 0.8042866666666668]
[2024-10-25 11:30:57 AM-train.py-INFO:epoch: 5, dataset: CVC-ClinicDB, dice: 0.8017451612903228]
[2024-10-25 11:31:01 AM-train.py-INFO:epoch: 5, dataset: Kvasir, dice: 0.808522]
[2024-10-25 11:31:15 AM-train.py-INFO:epoch: 5, dataset: CVC-ColonDB, dice: 0.6162944736842109]
[2024-10-25 11:31:29 AM-train.py-INFO:epoch: 5, dataset: ETIS-LaribPolypDB, dice: 0.3991637755102038]
[2024-10-25 11:33:08 AM-train.py-INFO:epoch: 6, dataset: CVC-300, dice: 0.814928333333333]
[2024-10-25 11:33:12 AM-train.py-INFO:epoch: 6, dataset: CVC-ClinicDB, dice: 0.862342741935484]
[2024-10-25 11:33:16 AM-train.py-INFO:epoch: 6, dataset: Kvasir, dice: 0.8556420000000002]
[2024-10-25 11:33:34 AM-train.py-INFO:epoch: 6, dataset: CVC-ColonDB, dice: 0.6950260526315792]
[2024-10-25 11:33:51 AM-train.py-INFO:epoch: 6, dataset: ETIS-LaribPolypDB, dice: 0.5637265306122444]
[2024-10-25 11:34:39 AM-train.py-INFO:##############################################################################best:0.7023021303258129]
[2024-10-25 11:35:52 AM-train.py-INFO:epoch: 7, dataset: CVC-300, dice: 0.8088599999999999]
