[2024-11-27 105847 PM-train_isic.py-INFOepoch 1, dataset test, dice 0.8802028999999999]
[2024-11-27 105921 PM-train_isic.py-INFO##############################################################################best0.883672]
[2024-11-27 111324 PM-train_isic.py-INFOepoch 2, dataset test, dice 0.866719300000001]
[2024-11-27 112753 PM-train_isic.py-INFOepoch 3, dataset test, dice 0.8785702999999996]
[2024-11-27 114221 PM-train_isic.py-INFOepoch 4, dataset test, dice 0.8439246999999994]
[2024-11-27 115714 PM-train_isic.py-INFOepoch 5, dataset test, dice 0.8537345]
[2024-11-28 121110 AM-train_isic.py-INFOepoch 6, dataset test, dice 0.8924604000000002]
[2024-11-28 121138 AM-train_isic.py-INFO##############################################################################best0.8888000000000004]
[2024-11-28 122455 AM-train_isic.py-INFOepoch 7, dataset test, dice 0.8808544999999993]
[2024-11-28 123840 AM-train_isic.py-INFOepoch 8, dataset test, dice 0.8653202000000011]
[2024-11-28 125226 AM-train_isic.py-INFOepoch 9, dataset test, dice 0.8941213999999983]
[2024-11-28 125254 AM-train_isic.py-INFO##############################################################################best0.904297]
[2024-11-28 010614 AM-train_isic.py-INFOepoch 10, dataset test, dice 0.8758570000000008]
[2024-11-28 012001 AM-train_isic.py-INFOepoch 11, dataset test, dice 0.8920654000000006]
[2024-11-28 013431 AM-train_isic.py-INFOepoch 12, dataset test, dice 0.9028551000000001]
[2024-11-28 013503 AM-train_isic.py-INFO##############################################################################best0.9051729999999997]
[2024-11-28 014909 AM-train_isic.py-INFOepoch 13, dataset test, dice 0.8812914000000006]
[2024-11-28 020339 AM-train_isic.py-INFOepoch 14, dataset test, dice 0.8817307000000003]
[2024-11-28 021807 AM-train_isic.py-INFOepoch 15, dataset test, dice 0.8691960000000005]
[2024-11-28 023211 AM-train_isic.py-INFOepoch 16, dataset test, dice 0.8827766999999991]
[2024-11-28 024557 AM-train_isic.py-INFOepoch 17, dataset test, dice 0.8780383999999993]
[2024-11-28 025940 AM-train_isic.py-INFOepoch 18, dataset test, dice 0.8724172999999997]
[2024-11-28 031325 AM-train_isic.py-INFOepoch 19, dataset test, dice 0.8820173000000022]
[2024-11-28 032714 AM-train_isic.py-INFOepoch 20, dataset test, dice 0.8850674000000002]
[2024-11-28 034105 AM-train_isic.py-INFOepoch 21, dataset test, dice 0.8776581999999995]
[2024-11-28 035451 AM-train_isic.py-INFOepoch 22, dataset test, dice 0.8863813000000004]
[2024-11-28 040838 AM-train_isic.py-INFOepoch 23, dataset test, dice 0.8944320000000002]
[2024-11-28 042222 AM-train_isic.py-INFOepoch 24, dataset test, dice 0.8921941000000008]
[2024-11-28 112048 AM-train_isic.py-INFOepoch 25, dataset test, dice 0.8907657000000008]
[2024-11-28 113139 AM-train_isic.py-INFOepoch 26, dataset test, dice 0.8798276000000014]
[2024-11-28 114230 AM-train_isic.py-INFOepoch 27, dataset test, dice 0.8875345999999997]
[2024-11-28 115320 AM-train_isic.py-INFOepoch 28, dataset test, dice 0.8772159000000002]
[2024-11-28 120409 PM-train_isic.py-INFOepoch 29, dataset test, dice 0.8816093999999991]
[2024-11-28 121502 PM-train_isic.py-INFOepoch 30, dataset test, dice 0.8783601000000006]
[2024-11-28 122551 PM-train_isic.py-INFOepoch 31, dataset test, dice 0.8896596000000004]
[2024-11-28 123636 PM-train_isic.py-INFOepoch 32, dataset test, dice 0.8915783000000003]
[2024-11-28 124752 PM-train_isic.py-INFOepoch 33, dataset test, dice 0.8783791999999998]
