[2024-12-02 03:39:37 PM-train - unet.py-INFO:epoch: 18, dataset: CVC-ColonDB, dice: 0.3255800000000005]
[2024-12-02 03:40:23 PM-train - unet.py-INFO:epoch: 18, dataset: ETIS-LaribPolypDB, dice: 0.18682704081632662]
[2024-12-02 03:40:33 PM-train - unet.py-INFO:##############################################################################best:0.8216147540983604]
[2024-12-02 03:41:40 PM-train - unet.py-INFO:epoch: 19, dataset: CVC-300, dice: 0.27021999999999996]
[2024-12-02 03:42:01 PM-train - unet.py-INFO:epoch: 19, dataset: CVC-ClinicDB, dice: 0.7534491935483872]
[2024-12-02 03:42:19 PM-train - unet.py-INFO:epoch: 19, dataset: Kvasir, dice: 0.434693]
[2024-12-02 03:43:28 PM-train - unet.py-INFO:epoch: 19, dataset: CVC-ColonDB, dice: 0.3498386842105265]
[2024-12-02 03:44:14 PM-train - unet.py-INFO:epoch: 19, dataset: ETIS-LaribPolypDB, dice: 0.19730306122448976]
[2024-12-02 03:45:30 PM-train - unet.py-INFO:epoch: 20, dataset: CVC-300, dice: 0.43686166666666665]
[2024-12-02 03:45:51 PM-train - unet.py-INFO:epoch: 20, dataset: CVC-ClinicDB, dice: 0.7506274193548389]
[2024-12-02 03:46:10 PM-train - unet.py-INFO:epoch: 20, dataset: Kvasir, dice: 0.4662790000000001]
[2024-12-02 03:47:18 PM-train - unet.py-INFO:epoch: 20, dataset: CVC-ColonDB, dice: 0.3518794736842111]
[2024-12-02 03:48:03 PM-train - unet.py-INFO:epoch: 20, dataset: ETIS-LaribPolypDB, dice: 0.15138877551020408]
[2024-12-02 03:49:18 PM-train - unet.py-INFO:epoch: 21, dataset: CVC-300, dice: 0.23868999999999996]
[2024-12-02 03:49:39 PM-train - unet.py-INFO:epoch: 21, dataset: CVC-ClinicDB, dice: 0.772791129032258]
[2024-12-02 03:49:57 PM-train - unet.py-INFO:epoch: 21, dataset: Kvasir, dice: 0.4699120000000002]
