[2024-10-19 01:16:41 PM-train.py-INFO:epoch: 1, dataset: CVC-300, dice: 0.8605533333333334]
[2024-10-19 01:16:44 PM-train.py-INFO:epoch: 1, dataset: CVC-ClinicDB, dice: 0.8421387096774194]
[2024-10-19 01:16:48 PM-train.py-INFO:epoch: 1, dataset: Kvasir, dice: 0.8711429999999999]
[2024-10-19 01:17:04 PM-train.py-INFO:epoch: 1, dataset: CVC-ColonDB, dice: 0.737317368421052]
[2024-10-19 01:17:20 PM-train.py-INFO:epoch: 1, dataset: ETIS-LaribPolypDB, dice: 0.7185443877551019]
[2024-10-19 01:17:59 PM-train.py-INFO:##############################################################################best:0.7668864661654125]
[2024-10-19 01:19:31 PM-train.py-INFO:epoch: 2, dataset: CVC-300, dice: 0.8771566666666666]
[2024-10-19 01:19:32 PM-train.py-INFO:epoch: 2, dataset: CVC-ClinicDB, dice: 0.8329145161290322]
[2024-10-19 01:19:36 PM-train.py-INFO:epoch: 2, dataset: Kvasir, dice: 0.8666729999999996]
[2024-10-19 01:19:47 PM-train.py-INFO:epoch: 2, dataset: CVC-ColonDB, dice: 0.6526202631578946]
[2024-10-19 01:20:01 PM-train.py-INFO:epoch: 2, dataset: ETIS-LaribPolypDB, dice: 0.7424551020408164]
[2024-10-19 01:22:33 PM-train.py-INFO:epoch: 3, dataset: CVC-300, dice: 0.8413183333333333]
[2024-10-19 01:22:35 PM-train.py-INFO:epoch: 3, dataset: CVC-ClinicDB, dice: 0.8796919354838708]
[2024-10-19 01:22:39 PM-train.py-INFO:epoch: 3, dataset: Kvasir, dice: 0.8694919999999995]
[2024-10-19 01:22:53 PM-train.py-INFO:epoch: 3, dataset: CVC-ColonDB, dice: 0.7148260526315791]
[2024-10-19 01:23:06 PM-train.py-INFO:epoch: 3, dataset: ETIS-LaribPolypDB, dice: 0.7287505102040819]
[2024-10-19 01:25:09 PM-train.py-INFO:epoch: 4, dataset: CVC-300, dice: 0.8621716666666668]
[2024-10-19 01:25:11 PM-train.py-INFO:epoch: 4, dataset: CVC-ClinicDB, dice: 0.8975645161290323]
[2024-10-19 01:25:14 PM-train.py-INFO:epoch: 4, dataset: Kvasir, dice: 0.9003229999999997]
[2024-10-19 01:25:27 PM-train.py-INFO:epoch: 4, dataset: CVC-ColonDB, dice: 0.7719784210526318]
[2024-10-19 01:25:40 PM-train.py-INFO:epoch: 4, dataset: ETIS-LaribPolypDB, dice: 0.7387530612244897]
[2024-10-19 01:26:12 PM-train.py-INFO:##############################################################################best:0.7964398496240596]
