[2024-11-30 09:10:54 PM-train - unet.py-INFO:epoch: 1, dataset: CVC-300, dice: 0.1131583333333333]
[2024-11-30 09:11:00 PM-train - unet.py-INFO:epoch: 1, dataset: CVC-ClinicDB, dice: 0.26998467741935483]
[2024-11-30 09:11:06 PM-train - unet.py-INFO:epoch: 1, dataset: Kvasir, dice: 0.3037119999999999]
[2024-11-30 09:11:27 PM-train - unet.py-INFO:epoch: 1, dataset: CVC-ColonDB, dice: 0.17583842105263184]
[2024-11-30 09:11:44 PM-train - unet.py-INFO:epoch: 1, dataset: ETIS-LaribPolypDB, dice: 0.10625459183673469]
[2024-11-30 09:11:48 PM-train - unet.py-INFO:##############################################################################best:0.3063213114754098]
[2024-11-30 09:23:37 PM-train - unet.py-INFO:epoch: 2, dataset: CVC-300, dice: 0.1157116666666667]
[2024-11-30 09:23:43 PM-train - unet.py-INFO:epoch: 2, dataset: CVC-ClinicDB, dice: 0.297150806451613]
[2024-11-30 09:23:48 PM-train - unet.py-INFO:epoch: 2, dataset: Kvasir, dice: 0.31487999999999994]
[2024-11-30 09:24:09 PM-train - unet.py-INFO:epoch: 2, dataset: CVC-ColonDB, dice: 0.16931368421052637]
[2024-11-30 09:24:27 PM-train - unet.py-INFO:epoch: 2, dataset: ETIS-LaribPolypDB, dice: 0.09719591836734694]
[2024-11-30 09:24:30 PM-train - unet.py-INFO:##############################################################################best:0.33538524590163943]
[2024-11-30 09:36:19 PM-train - unet.py-INFO:epoch: 3, dataset: CVC-300, dice: 0.11336333333333339]
[2024-11-30 09:36:25 PM-train - unet.py-INFO:epoch: 3, dataset: CVC-ClinicDB, dice: 0.27905322580645175]
[2024-11-30 09:36:31 PM-train - unet.py-INFO:epoch: 3, dataset: Kvasir, dice: 0.2967880000000001]
[2024-11-30 09:36:52 PM-train - unet.py-INFO:epoch: 3, dataset: CVC-ColonDB, dice: 0.15656947368421065]
[2024-11-30 09:37:09 PM-train - unet.py-INFO:epoch: 3, dataset: ETIS-LaribPolypDB, dice: 0.09839999999999992]
[2024-11-30 09:49:04 PM-train - unet.py-INFO:epoch: 4, dataset: CVC-300, dice: 0.11816833333333333]
[2024-11-30 09:49:11 PM-train - unet.py-INFO:epoch: 4, dataset: CVC-ClinicDB, dice: 0.32684435483870966]
[2024-11-30 09:49:17 PM-train - unet.py-INFO:epoch: 4, dataset: Kvasir, dice: 0.26380099999999995]
[2024-11-30 09:49:38 PM-train - unet.py-INFO:epoch: 4, dataset: CVC-ColonDB, dice: 0.1470602631578947]
[2024-11-30 09:49:55 PM-train - unet.py-INFO:epoch: 4, dataset: ETIS-LaribPolypDB, dice: 0.06134693877551017]
[2024-11-30 09:49:59 PM-train - unet.py-INFO:##############################################################################best:0.36590327868852457]
[2024-11-30 10:01:47 PM-train - unet.py-INFO:epoch: 5, dataset: CVC-300, dice: 0.132175]
[2024-11-30 10:01:53 PM-train - unet.py-INFO:epoch: 5, dataset: CVC-ClinicDB, dice: 0.3847330645161289]
[2024-11-30 10:01:59 PM-train - unet.py-INFO:epoch: 5, dataset: Kvasir, dice: 0.3240409999999999]
[2024-11-30 10:02:19 PM-train - unet.py-INFO:epoch: 5, dataset: CVC-ColonDB, dice: 0.22263842105263182]
[2024-11-30 10:02:36 PM-train - unet.py-INFO:epoch: 5, dataset: ETIS-LaribPolypDB, dice: 0.1162071428571428]
[2024-11-30 10:02:39 PM-train - unet.py-INFO:##############################################################################best:0.4091049180327869]
[2024-11-30 10:14:16 PM-train - unet.py-INFO:epoch: 6, dataset: CVC-300, dice: 0.1535699999999999]
[2024-11-30 10:14:22 PM-train - unet.py-INFO:epoch: 6, dataset: CVC-ClinicDB, dice: 0.4144903225806453]
[2024-11-30 10:14:27 PM-train - unet.py-INFO:epoch: 6, dataset: Kvasir, dice: 0.360943]
[2024-11-30 10:14:47 PM-train - unet.py-INFO:epoch: 6, dataset: CVC-ColonDB, dice: 0.2298105263157894]
[2024-11-30 10:15:04 PM-train - unet.py-INFO:epoch: 6, dataset: ETIS-LaribPolypDB, dice: 0.11995357142857144]
[2024-11-30 10:15:07 PM-train - unet.py-INFO:##############################################################################best:0.4550885245901641]
[2024-11-30 10:26:45 PM-train - unet.py-INFO:epoch: 7, dataset: CVC-300, dice: 0.13690333333333332]
[2024-11-30 10:26:51 PM-train - unet.py-INFO:epoch: 7, dataset: CVC-ClinicDB, dice: 0.40046048387096755]
[2024-11-30 10:26:57 PM-train - unet.py-INFO:epoch: 7, dataset: Kvasir, dice: 0.32770399999999994]
[2024-11-30 10:27:17 PM-train - unet.py-INFO:epoch: 7, dataset: CVC-ColonDB, dice: 0.22713026315789478]
[2024-11-30 10:27:34 PM-train - unet.py-INFO:epoch: 7, dataset: ETIS-LaribPolypDB, dice: 0.11371836734693874]
[2024-11-30 10:39:17 PM-train - unet.py-INFO:epoch: 8, dataset: CVC-300, dice: 0.11303999999999996]
[2024-11-30 10:39:23 PM-train - unet.py-INFO:epoch: 8, dataset: CVC-ClinicDB, dice: 0.3771225806451614]
[2024-11-30 10:39:30 PM-train - unet.py-INFO:epoch: 8, dataset: Kvasir, dice: 0.3165190000000001]
[2024-11-30 10:39:56 PM-train - unet.py-INFO:epoch: 8, dataset: CVC-ColonDB, dice: 0.21733526315789475]
[2024-11-30 10:40:17 PM-train - unet.py-INFO:epoch: 8, dataset: ETIS-LaribPolypDB, dice: 0.10508673469387754]
[2024-11-30 10:51:57 PM-train - unet.py-INFO:epoch: 9, dataset: CVC-300, dice: 0.16958000000000004]
[2024-11-30 10:52:03 PM-train - unet.py-INFO:epoch: 9, dataset: CVC-ClinicDB, dice: 0.50205]
[2024-11-30 10:52:08 PM-train - unet.py-INFO:epoch: 9, dataset: Kvasir, dice: 0.360571]
[2024-11-30 10:52:28 PM-train - unet.py-INFO:epoch: 9, dataset: CVC-ColonDB, dice: 0.2456223684210529]
[2024-11-30 10:52:46 PM-train - unet.py-INFO:epoch: 9, dataset: ETIS-LaribPolypDB, dice: 0.11399591836734692]
[2024-11-30 10:52:49 PM-train - unet.py-INFO:##############################################################################best:0.5623393442622951]
[2024-11-30 11:04:25 PM-train - unet.py-INFO:epoch: 10, dataset: CVC-300, dice: 0.12928833333333337]
[2024-11-30 11:04:31 PM-train - unet.py-INFO:epoch: 10, dataset: CVC-ClinicDB, dice: 0.5218387096774194]
[2024-11-30 11:04:37 PM-train - unet.py-INFO:epoch: 10, dataset: Kvasir, dice: 0.3119910000000001]
[2024-11-30 11:04:57 PM-train - unet.py-INFO:epoch: 10, dataset: CVC-ColonDB, dice: 0.23831157894736854]
[2024-11-30 11:05:14 PM-train - unet.py-INFO:epoch: 10, dataset: ETIS-LaribPolypDB, dice: 0.099690306122449]
[2024-11-30 11:16:53 PM-train - unet.py-INFO:epoch: 11, dataset: CVC-300, dice: 0.17927333333333334]
[2024-11-30 11:16:59 PM-train - unet.py-INFO:epoch: 11, dataset: CVC-ClinicDB, dice: 0.5647637096774194]
[2024-11-30 11:17:04 PM-train - unet.py-INFO:epoch: 11, dataset: Kvasir, dice: 0.30416600000000016]
[2024-11-30 11:17:24 PM-train - unet.py-INFO:epoch: 11, dataset: CVC-ColonDB, dice: 0.2565863157894735]
[2024-11-30 11:17:41 PM-train - unet.py-INFO:epoch: 11, dataset: ETIS-LaribPolypDB, dice: 0.09401377551020408]
[2024-11-30 11:17:44 PM-train - unet.py-INFO:##############################################################################best:0.5935590163934427]
[2024-11-30 11:29:20 PM-train - unet.py-INFO:epoch: 12, dataset: CVC-300, dice: 0.154775]
[2024-11-30 11:29:26 PM-train - unet.py-INFO:epoch: 12, dataset: CVC-ClinicDB, dice: 0.5474814516129031]
[2024-11-30 11:29:31 PM-train - unet.py-INFO:epoch: 12, dataset: Kvasir, dice: 0.360117]
[2024-11-30 11:29:51 PM-train - unet.py-INFO:epoch: 12, dataset: CVC-ColonDB, dice: 0.2263021052631578]
[2024-11-30 11:30:09 PM-train - unet.py-INFO:epoch: 12, dataset: ETIS-LaribPolypDB, dice: 0.10262142857142853]
[2024-11-30 11:41:47 PM-train - unet.py-INFO:epoch: 13, dataset: CVC-300, dice: 0.21433333333333335]
[2024-11-30 11:41:53 PM-train - unet.py-INFO:epoch: 13, dataset: CVC-ClinicDB, dice: 0.5254733870967742]
[2024-11-30 11:41:58 PM-train - unet.py-INFO:epoch: 13, dataset: Kvasir, dice: 0.286367]
[2024-11-30 11:42:18 PM-train - unet.py-INFO:epoch: 13, dataset: CVC-ColonDB, dice: 0.27027894736842084]
[2024-11-30 11:42:36 PM-train - unet.py-INFO:epoch: 13, dataset: ETIS-LaribPolypDB, dice: 0.11066275510204081]
[2024-11-30 11:54:15 PM-train - unet.py-INFO:epoch: 14, dataset: CVC-300, dice: 0.20549833333333334]
[2024-11-30 11:54:21 PM-train - unet.py-INFO:epoch: 14, dataset: CVC-ClinicDB, dice: 0.5767169354838708]
[2024-11-30 11:54:27 PM-train - unet.py-INFO:epoch: 14, dataset: Kvasir, dice: 0.3227689999999999]
[2024-11-30 11:54:47 PM-train - unet.py-INFO:epoch: 14, dataset: CVC-ColonDB, dice: 0.2659121052631581]
[2024-11-30 11:55:04 PM-train - unet.py-INFO:epoch: 14, dataset: ETIS-LaribPolypDB, dice: 0.0905525510204082]
[2024-12-01 02:46:29 AM-train - unet.py-INFO:epoch: 15, dataset: CVC-300, dice: 0.28814333333333336]
[2024-12-01 02:46:35 AM-train - unet.py-INFO:epoch: 15, dataset: CVC-ClinicDB, dice: 0.6493629032258064]
[2024-12-01 02:46:41 AM-train - unet.py-INFO:epoch: 15, dataset: Kvasir, dice: 0.37387599999999993]
[2024-12-01 02:47:02 AM-train - unet.py-INFO:epoch: 15, dataset: CVC-ColonDB, dice: 0.30847210526315755]
[2024-12-01 02:47:20 AM-train - unet.py-INFO:epoch: 15, dataset: ETIS-LaribPolypDB, dice: 0.15550969387755104]
[2024-12-01 02:47:23 AM-train - unet.py-INFO:##############################################################################best:0.6678327868852459]
[2024-12-01 02:59:25 AM-train - unet.py-INFO:epoch: 16, dataset: CVC-300, dice: 0.1603566666666666]
[2024-12-01 02:59:32 AM-train - unet.py-INFO:epoch: 16, dataset: CVC-ClinicDB, dice: 0.5389725806451614]
[2024-12-01 02:59:39 AM-train - unet.py-INFO:epoch: 16, dataset: Kvasir, dice: 0.33416300000000015]
[2024-12-01 03:00:06 AM-train - unet.py-INFO:epoch: 16, dataset: CVC-ColonDB, dice: 0.2571126315789474]
[2024-12-01 03:00:28 AM-train - unet.py-INFO:epoch: 16, dataset: ETIS-LaribPolypDB, dice: 0.09653571428571421]
[2024-12-01 03:12:26 AM-train - unet.py-INFO:epoch: 17, dataset: CVC-300, dice: 0.2519650000000001]
[2024-12-01 03:12:32 AM-train - unet.py-INFO:epoch: 17, dataset: CVC-ClinicDB, dice: 0.7048435483870967]
[2024-12-01 03:12:37 AM-train - unet.py-INFO:epoch: 17, dataset: Kvasir, dice: 0.39212900000000034]
[2024-12-01 03:12:58 AM-train - unet.py-INFO:epoch: 17, dataset: CVC-ColonDB, dice: 0.3236649999999999]
[2024-12-01 03:13:16 AM-train - unet.py-INFO:epoch: 17, dataset: ETIS-LaribPolypDB, dice: 0.14676173469387754]
[2024-12-01 03:13:19 AM-train - unet.py-INFO:##############################################################################best:0.6997803278688526]
[2024-12-01 03:25:13 AM-train - unet.py-INFO:epoch: 18, dataset: CVC-300, dice: 0.179535]
[2024-12-01 03:25:19 AM-train - unet.py-INFO:epoch: 18, dataset: CVC-ClinicDB, dice: 0.7444822580645161]
[2024-12-01 03:25:24 AM-train - unet.py-INFO:epoch: 18, dataset: Kvasir, dice: 0.35053599999999996]
[2024-12-01 03:25:45 AM-train - unet.py-INFO:epoch: 18, dataset: CVC-ColonDB, dice: 0.32431105263157894]
[2024-12-01 03:26:03 AM-train - unet.py-INFO:epoch: 18, dataset: ETIS-LaribPolypDB, dice: 0.08978979591836733]
[2024-12-01 03:26:06 AM-train - unet.py-INFO:##############################################################################best:0.7561590163934429]
[2024-12-01 03:37:59 AM-train - unet.py-INFO:epoch: 19, dataset: CVC-300, dice: 0.13425666666666666]
[2024-12-01 03:38:06 AM-train - unet.py-INFO:epoch: 19, dataset: CVC-ClinicDB, dice: 0.6854564516129029]
[2024-12-01 03:38:11 AM-train - unet.py-INFO:epoch: 19, dataset: Kvasir, dice: 0.33258200000000004]
[2024-12-01 03:38:32 AM-train - unet.py-INFO:epoch: 19, dataset: CVC-ColonDB, dice: 0.27994736842105306]
[2024-12-01 03:38:50 AM-train - unet.py-INFO:epoch: 19, dataset: ETIS-LaribPolypDB, dice: 0.1170709183673469]
[2024-12-01 03:50:50 AM-train - unet.py-INFO:epoch: 20, dataset: CVC-300, dice: 0.30588000000000004]
[2024-12-01 03:50:56 AM-train - unet.py-INFO:epoch: 20, dataset: CVC-ClinicDB, dice: 0.7686854838709675]
[2024-12-01 03:51:02 AM-train - unet.py-INFO:epoch: 20, dataset: Kvasir, dice: 0.3823400000000002]
[2024-12-01 03:51:22 AM-train - unet.py-INFO:epoch: 20, dataset: CVC-ColonDB, dice: 0.34960184210526324]
