[2024-11-30 04:44:57 PM-train - unet.py-INFO:epoch: 1, dataset: CVC-300, dice: 0.012818333333333333]
[2024-11-30 04:45:05 PM-train - unet.py-INFO:epoch: 1, dataset: CVC-ClinicDB, dice: 0.06301854838709678]
[2024-11-30 04:45:12 PM-train - unet.py-INFO:epoch: 1, dataset: Kvasir, dice: 0.012842]
[2024-11-30 04:45:38 PM-train - unet.py-INFO:epoch: 1, dataset: CVC-ColonDB, dice: 0.02087368421052632]
[2024-11-30 04:45:58 PM-train - unet.py-INFO:epoch: 1, dataset: ETIS-LaribPolypDB, dice: 0.010663265306122442]
[2024-11-30 04:46:02 PM-train - unet.py-INFO:##############################################################################best:0.05508688524590162]
[2024-11-30 04:46:36 PM-train - unet.py-INFO:epoch: 2, dataset: CVC-300, dice: 0.121245]
[2024-11-30 04:46:46 PM-train - unet.py-INFO:epoch: 2, dataset: CVC-ClinicDB, dice: 0.23055725806451619]
[2024-11-30 04:46:53 PM-train - unet.py-INFO:epoch: 2, dataset: Kvasir, dice: 0.131554]
[2024-11-30 04:47:19 PM-train - unet.py-INFO:epoch: 2, dataset: CVC-ColonDB, dice: 0.07289263157894733]
[2024-11-30 04:47:40 PM-train - unet.py-INFO:epoch: 2, dataset: ETIS-LaribPolypDB, dice: 0.04953061224489796]
[2024-11-30 04:47:44 PM-train - unet.py-INFO:##############################################################################best:0.2393377049180328]
[2024-11-30 04:48:17 PM-train - unet.py-INFO:epoch: 3, dataset: CVC-300, dice: 0.09678166666666663]
[2024-11-30 04:48:24 PM-train - unet.py-INFO:epoch: 3, dataset: CVC-ClinicDB, dice: 0.21942419354838708]
[2024-11-30 04:48:31 PM-train - unet.py-INFO:epoch: 3, dataset: Kvasir, dice: 0.09122499999999995]
[2024-11-30 04:48:57 PM-train - unet.py-INFO:epoch: 3, dataset: CVC-ColonDB, dice: 0.07147263157894716]
[2024-11-30 04:49:17 PM-train - unet.py-INFO:epoch: 3, dataset: ETIS-LaribPolypDB, dice: 0.072109693877551]
[2024-11-30 04:49:21 PM-train - unet.py-INFO:##############################################################################best:0.2573459016393443]
[2024-11-30 04:49:54 PM-train - unet.py-INFO:epoch: 4, dataset: CVC-300, dice: 0.020183333333333327]
[2024-11-30 04:50:01 PM-train - unet.py-INFO:epoch: 4, dataset: CVC-ClinicDB, dice: 0.1277322580645161]
[2024-11-30 04:50:08 PM-train - unet.py-INFO:epoch: 4, dataset: Kvasir, dice: 0.0007680000000000003]
[2024-11-30 04:50:33 PM-train - unet.py-INFO:epoch: 4, dataset: CVC-ColonDB, dice: 0.06115105263157892]
[2024-11-30 04:50:54 PM-train - unet.py-INFO:epoch: 4, dataset: ETIS-LaribPolypDB, dice: 0.009616326530612234]
[2024-11-30 04:51:30 PM-train - unet.py-INFO:epoch: 5, dataset: CVC-300, dice: 0.1918633333333334]
