[2024-10-27 04:08:30 AM-train.py-INFO:epoch: 1, dataset: CVC-300, dice: 0.076485]
[2024-10-27 04:08:36 AM-train.py-INFO:epoch: 1, dataset: CVC-ClinicDB, dice: 0.1477548387096775]
[2024-10-27 04:08:43 AM-train.py-INFO:epoch: 1, dataset: Kvasir, dice: 0.18932199999999993]
[2024-10-27 04:09:05 AM-train.py-INFO:epoch: 1, dataset: CVC-ColonDB, dice: 0.10656078947368419]
[2024-10-27 04:09:24 AM-train.py-INFO:epoch: 1, dataset: ETIS-LaribPolypDB, dice: 0.07802295918367348]
[2024-10-27 04:21:22 AM-train.py-INFO:epoch: 1, dataset: CVC-300, dice: 0.07752333333333335]
[2024-10-27 04:21:28 AM-train.py-INFO:epoch: 1, dataset: CVC-ClinicDB, dice: 0.2007233870967742]
[2024-10-27 04:21:33 AM-train.py-INFO:epoch: 1, dataset: Kvasir, dice: 0.24793199999999993]
[2024-10-27 04:21:52 AM-train.py-INFO:epoch: 1, dataset: CVC-ColonDB, dice: 0.10253684210526312]
[2024-10-27 04:22:12 AM-train.py-INFO:epoch: 1, dataset: ETIS-LaribPolypDB, dice: 0.0832010204081632]
[2024-10-27 04:22:16 AM-train.py-INFO:##############################################################################best:0.2082131147540984]
[2024-10-27 04:23:12 AM-train.py-INFO:epoch: 2, dataset: CVC-300, dice: 0.3429516666666667]
[2024-10-27 04:23:17 AM-train.py-INFO:epoch: 2, dataset: CVC-ClinicDB, dice: 0.48642177419354826]
[2024-10-27 04:23:22 AM-train.py-INFO:epoch: 2, dataset: Kvasir, dice: 0.5612010000000001]
[2024-10-27 04:23:40 AM-train.py-INFO:epoch: 2, dataset: CVC-ColonDB, dice: 0.33784526315789454]
[2024-10-27 04:23:58 AM-train.py-INFO:epoch: 2, dataset: ETIS-LaribPolypDB, dice: 0.2504948979591837]
[2024-10-27 04:24:01 AM-train.py-INFO:##############################################################################best:0.5012622950819672]
[2024-10-27 04:24:55 AM-train.py-INFO:epoch: 3, dataset: CVC-300, dice: 0.42352666666666666]
[2024-10-27 04:25:00 AM-train.py-INFO:epoch: 3, dataset: CVC-ClinicDB, dice: 0.5535999999999996]
[2024-10-27 04:25:06 AM-train.py-INFO:epoch: 3, dataset: Kvasir, dice: 0.575833]
[2024-10-27 04:25:24 AM-train.py-INFO:epoch: 3, dataset: CVC-ColonDB, dice: 0.37493447368421057]
[2024-10-27 04:25:44 AM-train.py-INFO:epoch: 3, dataset: ETIS-LaribPolypDB, dice: 0.27113724489795915]
[2024-10-27 04:25:48 AM-train.py-INFO:##############################################################################best:0.5831983606557378]
[2024-10-27 04:26:40 AM-train.py-INFO:epoch: 4, dataset: CVC-300, dice: 0.6166250000000003]
[2024-10-27 04:26:45 AM-train.py-INFO:epoch: 4, dataset: CVC-ClinicDB, dice: 0.6909379032258067]
[2024-10-27 04:26:50 AM-train.py-INFO:epoch: 4, dataset: Kvasir, dice: 0.6864930000000004]
[2024-10-27 04:27:07 AM-train.py-INFO:epoch: 4, dataset: CVC-ColonDB, dice: 0.5568376315789482]
[2024-10-27 04:27:24 AM-train.py-INFO:epoch: 4, dataset: ETIS-LaribPolypDB, dice: 0.32813877551020415]
[2024-10-27 04:27:27 AM-train.py-INFO:##############################################################################best:0.7254327868852459]
[2024-10-27 04:28:20 AM-train.py-INFO:epoch: 5, dataset: CVC-300, dice: 0.7153166666666668]
[2024-10-27 04:28:25 AM-train.py-INFO:epoch: 5, dataset: CVC-ClinicDB, dice: 0.8047435483870968]
[2024-10-27 04:28:30 AM-train.py-INFO:epoch: 5, dataset: Kvasir, dice: 0.7688459999999996]
[2024-10-27 04:28:49 AM-train.py-INFO:epoch: 5, dataset: CVC-ColonDB, dice: 0.6220731578947372]
[2024-10-27 04:29:07 AM-train.py-INFO:epoch: 5, dataset: ETIS-LaribPolypDB, dice: 0.43051224489795936]
[2024-10-27 04:29:10 AM-train.py-INFO:##############################################################################best:0.8308721311475409]
[2024-10-27 04:30:06 AM-train.py-INFO:epoch: 6, dataset: CVC-300, dice: 0.6210400000000001]
[2024-10-27 04:30:11 AM-train.py-INFO:epoch: 6, dataset: CVC-ClinicDB, dice: 0.7462604838709679]
[2024-10-27 04:30:16 AM-train.py-INFO:epoch: 6, dataset: Kvasir, dice: 0.709226]
[2024-10-27 04:30:38 AM-train.py-INFO:epoch: 6, dataset: CVC-ColonDB, dice: 0.5421510526315783]
[2024-10-27 04:30:59 AM-train.py-INFO:epoch: 6, dataset: ETIS-LaribPolypDB, dice: 0.3470658163265305]
[2024-10-27 04:32:01 AM-train.py-INFO:epoch: 7, dataset: CVC-300, dice: 0.8094883333333333]
[2024-10-27 04:32:08 AM-train.py-INFO:epoch: 7, dataset: CVC-ClinicDB, dice: 0.856627419354839]
[2024-10-27 04:32:14 AM-train.py-INFO:epoch: 7, dataset: Kvasir, dice: 0.7737079999999997]
[2024-10-27 04:32:37 AM-train.py-INFO:epoch: 7, dataset: CVC-ColonDB, dice: 0.6548221052631582]
[2024-10-27 04:32:58 AM-train.py-INFO:epoch: 7, dataset: ETIS-LaribPolypDB, dice: 0.5153158163265308]
[2024-10-27 04:33:02 AM-train.py-INFO:##############################################################################best:0.8718213114754099]
[2024-10-27 04:34:01 AM-train.py-INFO:epoch: 8, dataset: CVC-300, dice: 0.7959933333333336]
[2024-10-27 04:34:07 AM-train.py-INFO:epoch: 8, dataset: CVC-ClinicDB, dice: 0.8706322580645159]
[2024-10-27 04:34:13 AM-train.py-INFO:epoch: 8, dataset: Kvasir, dice: 0.7928789999999998]
[2024-10-27 04:34:36 AM-train.py-INFO:epoch: 8, dataset: CVC-ColonDB, dice: 0.6579073684210524]
[2024-10-27 04:34:57 AM-train.py-INFO:epoch: 8, dataset: ETIS-LaribPolypDB, dice: 0.5016795918367352]
[2024-10-27 04:35:01 AM-train.py-INFO:##############################################################################best:0.8789967213114753]
[2024-10-27 04:35:59 AM-train.py-INFO:epoch: 9, dataset: CVC-300, dice: 0.7781550000000002]
[2024-10-27 04:36:05 AM-train.py-INFO:epoch: 9, dataset: CVC-ClinicDB, dice: 0.8639653225806453]
[2024-10-27 04:36:11 AM-train.py-INFO:epoch: 9, dataset: Kvasir, dice: 0.8086509999999997]
[2024-10-27 04:36:32 AM-train.py-INFO:epoch: 9, dataset: CVC-ColonDB, dice: 0.6419726315789469]
[2024-10-27 04:36:53 AM-train.py-INFO:epoch: 9, dataset: ETIS-LaribPolypDB, dice: 0.4972979591836733]
[2024-10-27 04:37:54 AM-train.py-INFO:epoch: 10, dataset: CVC-300, dice: 0.8156216666666669]
[2024-10-27 04:37:59 AM-train.py-INFO:epoch: 10, dataset: CVC-ClinicDB, dice: 0.8887137096774195]
[2024-10-27 04:38:04 AM-train.py-INFO:epoch: 10, dataset: Kvasir, dice: 0.8110600000000001]
[2024-10-27 04:38:24 AM-train.py-INFO:epoch: 10, dataset: CVC-ColonDB, dice: 0.6815407894736842]
[2024-10-27 04:38:39 AM-train.py-INFO:epoch: 10, dataset: ETIS-LaribPolypDB, dice: 0.5341637755102036]
[2024-10-27 04:38:41 AM-train.py-INFO:##############################################################################best:0.8974754098360652]
[2024-10-27 04:39:37 AM-train.py-INFO:epoch: 11, dataset: CVC-300, dice: 0.8275050000000004]
[2024-10-27 04:39:41 AM-train.py-INFO:epoch: 11, dataset: CVC-ClinicDB, dice: 0.8996258064516129]
[2024-10-27 04:39:45 AM-train.py-INFO:epoch: 11, dataset: Kvasir, dice: 0.790414]
[2024-10-27 04:40:00 AM-train.py-INFO:epoch: 11, dataset: CVC-ColonDB, dice: 0.6774168421052628]
[2024-10-27 04:40:14 AM-train.py-INFO:epoch: 11, dataset: ETIS-LaribPolypDB, dice: 0.5530780612244898]
[2024-10-27 04:40:16 AM-train.py-INFO:##############################################################################best:0.9084540983606559]
[2024-10-27 04:41:11 AM-train.py-INFO:epoch: 12, dataset: CVC-300, dice: 0.8054783333333331]
[2024-10-27 04:41:15 AM-train.py-INFO:epoch: 12, dataset: CVC-ClinicDB, dice: 0.8857016129032258]
[2024-10-27 04:41:19 AM-train.py-INFO:epoch: 12, dataset: Kvasir, dice: 0.80427]
[2024-10-27 04:41:33 AM-train.py-INFO:epoch: 12, dataset: CVC-ColonDB, dice: 0.6720000000000008]
[2024-10-27 04:41:47 AM-train.py-INFO:epoch: 12, dataset: ETIS-LaribPolypDB, dice: 0.49218010204081614]
[2024-10-27 04:42:45 AM-train.py-INFO:epoch: 13, dataset: CVC-300, dice: 0.8055500000000001]
[2024-10-27 04:42:49 AM-train.py-INFO:epoch: 13, dataset: CVC-ClinicDB, dice: 0.9026048387096773]
[2024-10-27 04:42:53 AM-train.py-INFO:epoch: 13, dataset: Kvasir, dice: 0.775368]
[2024-10-27 04:43:07 AM-train.py-INFO:epoch: 13, dataset: CVC-ColonDB, dice: 0.6696892105263157]
[2024-10-27 04:43:22 AM-train.py-INFO:epoch: 13, dataset: ETIS-LaribPolypDB, dice: 0.5124765306122449]
[2024-10-27 04:44:19 AM-train.py-INFO:epoch: 14, dataset: CVC-300, dice: 0.8138166666666666]
[2024-10-27 04:44:23 AM-train.py-INFO:epoch: 14, dataset: CVC-ClinicDB, dice: 0.9086983870967738]
[2024-10-27 04:44:27 AM-train.py-INFO:epoch: 14, dataset: Kvasir, dice: 0.807142]
[2024-10-27 04:44:42 AM-train.py-INFO:epoch: 14, dataset: CVC-ColonDB, dice: 0.6799171052631583]
[2024-10-27 04:44:56 AM-train.py-INFO:epoch: 14, dataset: ETIS-LaribPolypDB, dice: 0.5451964285714284]
[2024-10-27 04:44:58 AM-train.py-INFO:##############################################################################best:0.909001639344262]
[2024-10-27 04:45:53 AM-train.py-INFO:epoch: 15, dataset: CVC-300, dice: 0.8202316666666667]
[2024-10-27 04:45:57 AM-train.py-INFO:epoch: 15, dataset: CVC-ClinicDB, dice: 0.9060750000000003]
[2024-10-27 04:46:01 AM-train.py-INFO:epoch: 15, dataset: Kvasir, dice: 0.8165660000000002]
